Timestamp,Machine_ID,Operation_Mode,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status,Year,Month,Day,Hour,Shift,Energy_Efficiency,Maintenance_Risk
2024-01-01 00:00:00,39,Idle,74.13758998750998,3.5005952505668376,8.61216228672771,10.650541807495888,0.2077642586521061,7.75126066915425,477.6573907044127,0.344650285712311,14.96546993501487,Low,2024,January,Monday,0,Night,55.46,High
2024-01-01 00:01:00,29,Active,84.26455838600123,3.355927799532658,2.268558727665701,29.11181021637609,2.22846358543766,4.989172453658086,398.1747469572252,0.7698484383392469,7.678270238860093,Low,2024,January,Monday,0,Night,175.52,High
2024-01-01 00:02:00,15,Active,44.28010157113693,2.0797660943098664,6.144105398264381,18.357292229650056,1.639416214806451,0.4568164053782064,108.0749587029995,0.9870863114008817,8.198391135045167,Low,2024,January,Monday,0,Night,17.59,High
2024-01-01 00:03:00,43,Active,40.5685019792109,0.2982377623817641,4.067825373478269,29.15362894215821,1.161020636843566,4.5829735177627215,329.5794095665588,0.983390223525452,2.7408470871373307,Medium,2024,January,Monday,0,Night,81.02,High
2024-01-01 00:04:00,8,Idle,75.06381737005613,0.3458101073578936,6.225737023845363,34.02919051771376,4.796519646574453,2.287716177150092,159.11352502137987,0.5731169659066233,12.100686272703294,Low,2024,January,Monday,0,Night,25.56,High
2024-01-01 00:05:00,21,Active,80.95979284122906,1.3856070486043044,9.868068415143949,48.399315247007785,0.5750118032676443,4.720912975440134,147.68770294333612,0.897386277205959,0.0407164230564033,Low,2024,January,Monday,0,Night,14.97,High
2024-01-01 00:06:00,39,Active,76.43470131884685,4.815294305581739,2.6168297234116773,23.51712339338756,2.089320253165994,4.894678075059727,222.9746909329436,0.2205400580724593,9.032312654501068,Low,2024,January,Monday,0,Night,85.21,High
2024-01-01 00:07:00,19,Active,37.67027924303745,4.43660963338224,7.659485950666886,35.45109695004191,3.2582462685795965,4.235901006303598,241.4567352566456,0.9118387921684246,0.738357242870531,Medium,2024,January,Monday,0,Night,31.52,High
2024-01-01 00:08:00,23,Active,75.54661164410375,3.128202862422097,2.679065557605282,43.6482617014793,2.8840694390759047,7.551567604579149,148.45814417503266,0.5005886207126145,11.446013034062002,Low,2024,January,Monday,0,Night,55.41,High
2024-01-01 00:09:00,11,Active,56.32470868805761,0.6477246429520054,3.401835344120188,23.98556551265745,0.5635281868990277,6.335665977803453,281.25801326895026,0.8054916079406376,3.6879124533514194,Medium,2024,January,Monday,0,Night,82.68,High
2024-01-01 00:10:00,11,Active,66.55051120235176,1.6104213892048784,2.6125075127259008,1.6092827239596548,4.32774547309416,8.739313187014602,142.8499002702622,0.2698961965919961,14.122461946417545,Low,2024,January,Monday,0,Night,54.68,High
2024-01-01 00:11:00,24,Active,54.13582194117923,0.8637603104255143,6.756743096390736,46.547747355178544,0.9126450867276924,3.090228044709844,438.30083343863873,0.3878798852551813,6.98844511559815,Low,2024,January,Monday,0,Night,64.87,High
2024-01-01 00:12:00,36,Active,30.80712891003994,4.331260329471949,2.403440254634778,35.07735095592837,1.6353653413345526,5.25565656284618,66.0246521675198,0.213338160690062,4.3700969197965005,Low,2024,January,Monday,0,Night,27.47,High
